+------------+-------+---------+-----------------+
| experiment | phase | episode | number of files |
+------------+-------+---------+-----------------+
|     r1     |   p1  |    1    |        2        |
|     r1     |   p1  |    10   |        2        |
|     r1     |   p1  |    11   |        2        |
|     r1     |   p1  |    12   |        2        |
|     r1     |   p1  |    13   |        2        |
|     r1     |   p1  |    14   |        2        |
|     r1     |   p1  |    15   |        2        |
|     r1     |   p1  |    16   |        2        |
|     r1     |   p1  |    17   |        2        |
|     r1     |   p1  |    18   |        2        |
|     r1     |   p1  |    19   |        2        |
|     r1     |   p1  |    2    |        2        |
|     r1     |   p1  |    20   |        2        |
|     r1     |   p1  |    21   |        2        |
|     r1     |   p1  |    22   |        2        |
|     r1     |   p1  |    23   |        2        |
|     r1     |   p1  |    24   |        2        |
|     r1     |   p1  |    25   |        2        |
|     r1     |   p1  |    26   |        2        |
|     r1     |   p1  |    27   |        2        |
|     r1     |   p1  |    28   |        2        |
|     r1     |   p1  |    29   |        2        |
|     r1     |   p1  |    3    |        2        |
|     r1     |   p1  |    30   |        2        |
|     r1     |   p1  |    31   |        2        |
|     r1     |   p1  |    32   |        2        |
|     r1     |   p1  |    33   |        2        |
|     r1     |   p1  |    34   |        2        |
|     r1     |   p1  |    35   |        2        |
|     r1     |   p1  |    36   |        2        |
|     r1     |   p1  |    37   |        2        |
|     r1     |   p1  |    38   |        2        |
|     r1     |   p1  |    39   |        2        |
|     r1     |   p1  |    4    |        2        |
|     r1     |   p1  |    40   |        2        |
|     r1     |   p1  |    41   |        2        |
|     r1     |   p1  |    5    |        2        |
|     r1     |   p1  |    6    |        2        |
|     r1     |   p1  |    7    |        2        |
|     r1     |   p1  |    8    |        2        |
|     r1     |   p1  |    9    |        2        |
|     r1     |   p1  |    9    |        2        |
|     r1     |   p2  |    1    |        2        |
|     r1     |   p2  |    10   |        2        |
|     r1     |   p2  |    11   |        2        |
|     r1     |   p2  |    12   |        2        |
|     r1     |   p2  |    13   |        2        |
|     r1     |   p2  |    14   |        2        |
|     r1     |   p2  |    15   |        2        |
|     r1     |   p2  |    16   |        2        |
|     r1     |   p2  |    17   |        2        |
|     r1     |   p2  |    18   |        2        |
|     r1     |   p2  |    19   |        2        |
|     r1     |   p2  |    2    |        2        |
|     r1     |   p2  |    20   |        2        |
|     r1     |   p2  |    21   |        2        |
|     r1     |   p2  |    22   |        2        |
|     r1     |   p2  |    23   |        2        |
|     r1     |   p2  |    24   |        2        |
|     r1     |   p2  |    25   |        2        |
|     r1     |   p2  |    26   |        2        |
|     r1     |   p2  |    27   |        2        |
|     r1     |   p2  |    28   |        2        |
|     r1     |   p2  |    29   |        2        |
|     r1     |   p2  |    3    |        2        |
|     r1     |   p2  |    30   |        2        |
|     r1     |   p2  |    31   |        2        |
|     r1     |   p2  |    4    |        2        |
|     r1     |   p2  |    5    |        2        |
|     r1     |   p2  |    6    |        2        |
|     r1     |   p2  |    7    |        2        |
|     r1     |   p2  |    8    |        2        |
|     r1     |   p2  |    9    |        2        |
|     r1     |   p2  |    9    |        2        |
|     r2     |   p1  |    1    |        2        |
|     r2     |   p1  |    10   |        2        |
|     r2     |   p1  |    11   |        2        |
|     r2     |   p1  |    12   |        2        |
|     r2     |   p1  |    13   |        2        |
|     r2     |   p1  |    14   |        2        |
|     r2     |   p1  |    15   |        2        |
|     r2     |   p1  |    16   |        2        |
|     r2     |   p1  |    17   |        2        |
|     r2     |   p1  |    18   |        2        |
|     r2     |   p1  |    19   |        2        |
|     r2     |   p1  |    2    |        2        |
|     r2     |   p1  |    20   |        2        |
|     r2     |   p1  |    21   |        2        |
|     r2     |   p1  |    22   |        2        |
|     r2     |   p1  |    23   |        2        |
|     r2     |   p1  |    24   |        2        |
|     r2     |   p1  |    25   |        2        |
|     r2     |   p1  |    26   |        2        |
|     r2     |   p1  |    27   |        2        |
|     r2     |   p1  |    28   |        2        |
|     r2     |   p1  |    29   |        2        |
|     r2     |   p1  |    3    |        2        |
|     r2     |   p1  |    30   |        2        |
|     r2     |   p1  |    31   |        2        |
|     r2     |   p1  |    32   |        2        |
|     r2     |   p1  |    33   |        2        |
|     r2     |   p1  |    34   |        2        |
|     r2     |   p1  |    35   |        2        |
|     r2     |   p1  |    36   |        2        |
|     r2     |   p1  |    37   |        2        |
|     r2     |   p1  |    38   |        2        |
|     r2     |   p1  |    39   |        2        |
|     r2     |   p1  |    4    |        2        |
|     r2     |   p1  |    40   |        2        |
|     r2     |   p1  |    41   |        2        |
|     r2     |   p1  |    42   |        2        |
|     r2     |   p1  |    43   |        2        |
|     r2     |   p1  |    44   |        2        |
|     r2     |   p1  |    45   |        2        |
|     r2     |   p1  |    46   |        2        |
|     r2     |   p1  |    47   |        2        |
|     r2     |   p1  |    48   |        2        |
|     r2     |   p1  |    49   |        2        |
|     r2     |   p1  |    5    |        2        |
|     r2     |   p1  |    50   |        2        |
|     r2     |   p1  |    51   |        2        |
|     r2     |   p1  |    52   |        2        |
|     r2     |   p1  |    53   |        2        |
|     r2     |   p1  |    54   |        2        |
|     r2     |   p1  |    55   |        2        |
|     r2     |   p1  |    56   |        2        |
|     r2     |   p1  |    57   |        2        |
