+------------+-------+---------+-----------------+
| experiment | phase | episode | number of files |
+------------+-------+---------+-----------------+
|     r1     |   p1  |    1    |        1        |
|     r1     |   p1  |    10   |        1        |
|     r1     |   p1  |    11   |        1        |
|     r1     |   p1  |    12   |        1        |
|     r1     |   p1  |    13   |        1        |
|     r1     |   p1  |    14   |        1        |
|     r1     |   p1  |    15   |        1        |
|     r1     |   p1  |    16   |        1        |
|     r1     |   p1  |    17   |        1        |
|     r1     |   p1  |    18   |        1        |
|     r1     |   p1  |    19   |        1        |
|     r1     |   p1  |    2    |        1        |
|     r1     |   p1  |    20   |        1        |
|     r1     |   p1  |    21   |        1        |
|     r1     |   p1  |    22   |        1        |
|     r1     |   p1  |    23   |        1        |
|     r1     |   p1  |    24   |        1        |
|     r1     |   p1  |    25   |        1        |
|     r1     |   p1  |    26   |        1        |
|     r1     |   p1  |    27   |        1        |
|     r1     |   p1  |    28   |        1        |
|     r1     |   p1  |    29   |        1        |
|     r1     |   p1  |    3    |        1        |
|     r1     |   p1  |    30   |        1        |
|     r1     |   p1  |    31   |        1        |
|     r1     |   p1  |    32   |        1        |
|     r1     |   p1  |    33   |        1        |
|     r1     |   p1  |    34   |        1        |
|     r1     |   p1  |    35   |        1        |
|     r1     |   p1  |    36   |        1        |
|     r1     |   p1  |    37   |        1        |
|     r1     |   p1  |    38   |        1        |
|     r1     |   p1  |    39   |        1        |
|     r1     |   p1  |    4    |        1        |
|     r1     |   p1  |    40   |        1        |
|     r1     |   p1  |    41   |        1        |
|     r1     |   p1  |    5    |        1        |
|     r1     |   p1  |    6    |        1        |
|     r1     |   p1  |    7    |        1        |
|     r1     |   p1  |    8    |        1        |
|     r1     |   p1  |    9    |        1        |
|     r1     |   p1  |    9    |        1        |
|     r1     |   p2  |    1    |        1        |
|     r1     |   p2  |    10   |        1        |
|     r1     |   p2  |    11   |        1        |
|     r1     |   p2  |    12   |        1        |
|     r1     |   p2  |    13   |        1        |
|     r1     |   p2  |    14   |        1        |
|     r1     |   p2  |    15   |        1        |
|     r1     |   p2  |    16   |        1        |
|     r1     |   p2  |    17   |        1        |
|     r1     |   p2  |    18   |        1        |
|     r1     |   p2  |    19   |        1        |
|     r1     |   p2  |    2    |        1        |
|     r1     |   p2  |    20   |        1        |
|     r1     |   p2  |    21   |        1        |
|     r1     |   p2  |    22   |        1        |
|     r1     |   p2  |    23   |        1        |
|     r1     |   p2  |    24   |        1        |
|     r1     |   p2  |    25   |        1        |
|     r1     |   p2  |    26   |        1        |
|     r1     |   p2  |    27   |        1        |
|     r1     |   p2  |    28   |        1        |
|     r1     |   p2  |    29   |        1        |
|     r1     |   p2  |    3    |        1        |
|     r1     |   p2  |    30   |        1        |
|     r1     |   p2  |    31   |        1        |
|     r1     |   p2  |    4    |        1        |
|     r1     |   p2  |    5    |        1        |
|     r1     |   p2  |    6    |        1        |
|     r1     |   p2  |    7    |        1        |
|     r1     |   p2  |    8    |        1        |
|     r1     |   p2  |    9    |        1        |
|     r1     |   p2  |    9    |        1        |
|     r2     |   p1  |    1    |        1        |
|     r2     |   p1  |    10   |        1        |
|     r2     |   p1  |    11   |        1        |
|     r2     |   p1  |    12   |        1        |
|     r2     |   p1  |    13   |        1        |
|     r2     |   p1  |    14   |        1        |
|     r2     |   p1  |    15   |        1        |
|     r2     |   p1  |    16   |        1        |
|     r2     |   p1  |    17   |        1        |
